molecule_chembl_id,canonical_smiles,class,MW,LogP,hDon,hAcc,pIC50
CHEMBL1771409,Cc1cc(N/N=C/c2ccc(O)c(O)c2)nc2ccccc12,inactive,293.326,3.4004200000000013,3.0,5.0,4.87942606879415
CHEMBL1771411,Cc1cc(N/N=C/c2ccncc2)nc2ccccc12,inactive,262.31600000000003,3.384220000000002,1.0,4.0,5.3872161432802645
CHEMBL1933288,C[C@@H]1CCNC(=O)c2cc3ccc(C(=O)Nc4nc5ccccc5n4CCCN(C)C)cc3n21,active,458.56600000000026,3.8895000000000026,2.0,6.0,7.795880017344075
CHEMBL2012582,COc1cc(C(=O)N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C,active,570.6980000000001,3.4387000000000016,1.0,9.0,7.886056647693163
CHEMBL509032,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,active,614.216,5.024100000000003,2.0,10.0,8.10790539730952
CHEMBL2170016,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1Cl,active,377.832,2.3963,2.0,7.0,7.018181392829336
CHEMBL2178141,CCNc1nc(Nc2cc3c(cc2OC)C(=O)N(CC(C)(C)O)C3)ncc1C(F)(F)F,active,439.43800000000016,3.406100000000002,3.0,7.0,7.657577319177793
CHEMBL2178140,CCNc1nc(Nc2cc(F)c(C(=O)NCC(C)(C)O)cc2OC)ncc1C(F)(F)F,active,445.4170000000001,3.319200000000002,4.0,7.0,8.0
CHEMBL2178139,CNc1nc(Nc2cnc(C3CCOCC3)cc2OC)ncc1C(F)(F)F,active,383.374,3.5783000000000023,2.0,7.0,7.292429823902063
CHEMBL2178138,CCNc1nc(Nc2cnc(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,active,426.39900000000006,2.5468,2.0,8.0,7.769551078621726
CHEMBL2178137,CNc1nc(Nc2cc(F)c(S(C)(=O)=O)cc2OC)ncc1C(F)(F)F,active,394.35,2.831900000000001,2.0,7.0,7.568636235841013
CHEMBL2178136,CNc1nc(Nc2ccc(-c3nnnn3C)cc2Cl)ncc1C(F)(F)F,active,384.75300000000004,3.124600000000001,2.0,8.0,7.0
CHEMBL2178135,COc1cc(C(=O)N2CCOCC2)c(F)cc1Nc1ncc(C(F)(F)F)c(NC2CC2)n1,active,455.4120000000001,3.4334000000000016,2.0,7.0,8.397940008672037
CHEMBL2178134,CCNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,active,443.4010000000001,3.2909000000000024,2.0,7.0,8.045757490560675
CHEMBL2178133,CNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,active,429.3740000000001,2.900800000000001,2.0,7.0,7.795880017344075
CHEMBL2178132,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)c(F)c2OC)ncc1C(F)(F)F,active,429.374,2.900800000000001,2.0,7.0,7.455931955649724
CHEMBL2178131,CNc1nc(Nc2cc(OC)c(C(=O)N3CCOCC3)cc2F)ncc1C(F)(F)F,active,429.3740000000001,2.900800000000001,2.0,7.0,7.200659450546418
CHEMBL2178130,CNc1nc(Nc2cc(C)c(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,active,425.41100000000006,3.070120000000002,2.0,7.0,7.958607314841775
CHEMBL2178129,CNc1nc(Nc2cc(C)c(C(=O)N3CCOCC3)cc2Cl)ncc1C(F)(F)F,active,429.83000000000004,3.714920000000003,2.0,6.0,7.366531544420414
CHEMBL2178127,CCNc1nc(Nc2cc(OC)c(C(=O)N3CCOCC3)cc2Cl)ncc1C(F)(F)F,active,459.8560000000001,3.805200000000003,2.0,7.0,7.568636235841013
CHEMBL2178126,CNc1nc(Nc2cc(OC)c(C(=O)N3CCOCC3)cc2Cl)ncc1C(F)(F)F,active,445.82900000000006,3.4151000000000025,2.0,7.0,7.619788758288394
CHEMBL2178125,CNc1nc(Nc2cc(OC)c(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,active,441.41000000000014,2.7703000000000007,2.0,8.0,7.6777807052660805
