molecule_chembl_id,canonical_smiles,standard_value,class
CHEMBL1771409,Cc1cc(N/N=C/c2ccc(O)c(O)c2)nc2ccccc12,13200.0,inactive
CHEMBL1771411,Cc1cc(N/N=C/c2ccncc2)nc2ccccc12,4100.0,inactive
CHEMBL1933288,C[C@@H]1CCNC(=O)c2cc3ccc(C(=O)Nc4nc5ccccc5n4CCCN(C)C)cc3n21,16.0,active
CHEMBL2012582,COc1cc(C(=O)N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C,13.0,active
CHEMBL509032,COc1cc(N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,7.8,active
CHEMBL2170016,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1Cl,95.9,active
CHEMBL2178141,CCNc1nc(Nc2cc3c(cc2OC)C(=O)N(CC(C)(C)O)C3)ncc1C(F)(F)F,22.0,active
CHEMBL2178140,CCNc1nc(Nc2cc(F)c(C(=O)NCC(C)(C)O)cc2OC)ncc1C(F)(F)F,10.0,active
CHEMBL2178139,CNc1nc(Nc2cnc(C3CCOCC3)cc2OC)ncc1C(F)(F)F,51.0,active
CHEMBL2178138,CCNc1nc(Nc2cnc(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,17.0,active
CHEMBL2178137,CNc1nc(Nc2cc(F)c(S(C)(=O)=O)cc2OC)ncc1C(F)(F)F,27.0,active
CHEMBL2178136,CNc1nc(Nc2ccc(-c3nnnn3C)cc2Cl)ncc1C(F)(F)F,100.0,active
CHEMBL2178135,COc1cc(C(=O)N2CCOCC2)c(F)cc1Nc1ncc(C(F)(F)F)c(NC2CC2)n1,4.0,active
CHEMBL2178134,CCNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,9.0,active
CHEMBL2178133,CNc1nc(Nc2cc(F)c(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,16.0,active
CHEMBL2178132,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)c(F)c2OC)ncc1C(F)(F)F,35.0,active
CHEMBL2178131,CNc1nc(Nc2cc(OC)c(C(=O)N3CCOCC3)cc2F)ncc1C(F)(F)F,63.0,active
CHEMBL2178130,CNc1nc(Nc2cc(C)c(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,11.0,active
CHEMBL2178129,CNc1nc(Nc2cc(C)c(C(=O)N3CCOCC3)cc2Cl)ncc1C(F)(F)F,43.0,active
CHEMBL2178127,CCNc1nc(Nc2cc(OC)c(C(=O)N3CCOCC3)cc2Cl)ncc1C(F)(F)F,27.0,active
CHEMBL2178126,CNc1nc(Nc2cc(OC)c(C(=O)N3CCOCC3)cc2Cl)ncc1C(F)(F)F,24.0,active
CHEMBL2178125,CNc1nc(Nc2cc(OC)c(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,21.0,active
CHEMBL2178124,CNc1nc(Nc2cc(Cl)c(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,7.0,active
CHEMBL2171745,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1C(F)(F)F,9.0,active
CHEMBL2171746,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1C#N,105.0,intermediate
CHEMBL2171744,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1F,418.0,inactive
CHEMBL2178123,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Br)c(OC)n1,53.0,active
CHEMBL2171743,CNc1nc(Nc2ccc(C(=O)N3CCOCC3)cc2OC)ncc1Br,13.0,active
CHEMBL2178142,COc1cc(C(=O)N2CCOCC2)ccc1Nc1ncc(Cl)c(OC)n1,69.0,active
CHEMBL2204495,O=C(Nc1cccnc1)c1cc(-c2ccnc(F)c2)ccc1OCc1ccccc1,61.3,active
CHEMBL2326726,CNc1nc(Nc2cnn(CC(C)(C)O)c2Cl)ncc1C(F)(F)F,28.0,active
CHEMBL2326715,CNc1nc(Nc2cnn(C)c2Cl)ncc1C(F)(F)F,39.0,active
CHEMBL2326714,CNc1nc(Nc2cnn(C)c2C)ncc1C(F)(F)F,41.0,active
CHEMBL2326713,CNc1nc(Nc2cn(C)nc2C)ncc1C(F)(F)F,52.0,active
CHEMBL2326712,CNc1nc(Nc2cnn(C)c2)ncc1C(F)(F)F,99.0,active
CHEMBL2326711,CNc1nc(Nc2ccnn2C)ncc1C(F)(F)F,130.0,intermediate
CHEMBL2326710,CNc1nc(Nc2ccn(C)n2)ncc1C(F)(F)F,170.0,intermediate
CHEMBL2333124,Cc1c(-c2ccncc2)ccc2c(NC(C)C)c(C(N)=O)nnc12,2512.0,inactive
CHEMBL2333123,CNC(=O)c1nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc2c1N[C@H](C)C1CC1,247.0,intermediate
CHEMBL2333122,CNC(=O)c1nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc2c1NC(C)C,418.0,inactive
CHEMBL2333121,CC(C)Nc1c(C(N)=O)nnc2cc(-c3cnsc3)ccc12,20.0,active
CHEMBL2333120,CC(C)Nc1c(C(N)=O)nnc2cc(N3CCOCC3)ccc12,12.0,active
CHEMBL2333119,CC(C)Nc1c(C(N)=O)nnc2cc(N3CCN(C)CC3)ccc12,59.0,active
CHEMBL2333118,CC(C)Nc1c(C(N)=O)nnc2cc(-c3cnn(C)c3)ccc12,12.0,active
CHEMBL2333117,CC(C)Nc1c(C(N)=O)nnc2ccc(-c3cnn(C)c3)cc12,425.0,inactive
CHEMBL2333116,CC(C)Nc1c(C(N)=O)nnc2cc(-c3cn[nH]c3)ccc12,18.0,active
CHEMBL2333115,CC(C)Nc1c(C(N)=O)nnc2ccc(-c3cn[nH]c3)cc12,5.0,active
CHEMBL2333114,CC(C)Nc1c(C(N)=O)nnc2ccc(-c3ccncc3)cc12,66.0,active
CHEMBL2333113,C[C@@H](Nc1c(C(N)=O)nnc2cc(-c3ccncc3)ccc12)C1CC1,6.0,active
CHEMBL2333112,CC(C)Nc1c(C(N)=O)nnc2cc(-c3ccncc3)ccc12,16.0,active
CHEMBL2333139,NC(=O)c1nnc2cc(-c3ccncc3)ccc2c1NCCO,264.0,intermediate
CHEMBL2333138,NC(=O)c1nnc2cc(-c3ccncc3)ccc2c1NCCCO,162.0,intermediate
CHEMBL2333137,C[C@@H](Nc1c(C(N)=O)nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12)c1ccccc1,1495.0,inactive
CHEMBL2333136,CS(=O)(=O)c1ccc(-c2ccc3c(N)c(C(N)=O)nnc3c2)cc1,298.0,intermediate
CHEMBL2333135,CNc1c(C(N)=O)nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,56.0,active
CHEMBL2333134,CS(=O)(=O)c1ccc(-c2ccc3c(NC4CCOC4)c(C(N)=O)nnc3c2)cc1,53.0,active
CHEMBL2333133,CS(=O)(=O)c1ccc(-c2ccc3c(NC4CC4)c(C(N)=O)nnc3c2)cc1,52.0,active
CHEMBL2333132,CS(=O)(=O)c1ccc(-c2ccc3c(NC4CCOCC4)c(C(N)=O)nnc3c2)cc1,32.0,active
CHEMBL2333131,CCNc1c(C(N)=O)nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,55.0,active
CHEMBL2333130,CS(=O)(=O)c1ccc(-c2ccc3c(NCC4CC4)c(C(N)=O)nnc3c2)cc1,27.0,active
CHEMBL2333129,CS(=O)(=O)c1ccc(-c2ccc3c(NC4CCC4)c(C(N)=O)nnc3c2)cc1,19.0,active
CHEMBL2333128,C[C@@H](Nc1c(C(N)=O)nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12)C1CC1,7.0,active
CHEMBL2333127,CC[C@@H](C)Nc1c(C(N)=O)nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,4.0,active
CHEMBL2333126,CC(C)Nc1c(C(N)=O)nnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,27.0,active
CHEMBL2333125,CC(C)Nc1c(C(N)=O)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,35.0,active
CHEMBL250364,CS(=O)(=O)c1ccc(-c2ccc3c(Nc4ccccc4)c(C(N)=O)cnc3c2)cc1,781.0,inactive
CHEMBL2347818,C[C@@H](Nc1c(C#N)cnc2cc(-c3ccc(-n4ccoc4=O)cc3)ccc12)C1CC1,27.0,active
CHEMBL2347817,C[C@@H](Nc1c(C#N)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12)C1CC1,39.0,active
CHEMBL2347816,CC(=O)N(C)c1c(C#N)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,1177.0,inactive
CHEMBL2347815,CS(=O)(=O)c1ccc(-c2ccc3c(-n4ccnc4)c(C#N)cnc3c2)cc1,498.0,inactive
CHEMBL2347814,CN(c1ccccc1)c1c(C#N)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,278.0,intermediate
CHEMBL2347813,CN1CCN(c2c(C#N)cnc3cc(-c4ccc(S(C)(=O)=O)cc4)ccc23)CC1,120.0,intermediate
CHEMBL2347812,CS(=O)(=O)c1ccc(-c2ccc3c(N4CCCCC4)c(C#N)cnc3c2)cc1,59.0,active
CHEMBL2347811,CN(C)c1c(C#N)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,27.0,active
CHEMBL2347810,CS(=O)(=O)c1ccc(-c2ccc3c(N4CCC4)c(C#N)cnc3c2)cc1,14.0,active
CHEMBL2347809,Cn1cc(-c2ccc3c(N4CCC4)c(C#N)cnc3c2)cn1,13.0,active
CHEMBL2347808,CC(C)Nc1c(C#N)cnc2ccccc12,288.0,intermediate
CHEMBL2347807,CC(C)Nc1c(C#N)cnc2cc(-c3ccc(Cl)s3)ccc12,65.0,active
CHEMBL2347806,CC(C)Nc1c(C#N)cnc2cc(-c3ccc(S(C)(=O)=O)nc3)ccc12,48.0,active
CHEMBL2347805,CC(C)Nc1c(C#N)cnc2cc(-c3ccc(S(=O)(=O)N(C)C)cc3)ccc12,28.0,active
CHEMBL2347804,CC(C)Nc1c(C#N)cnc2cc(-c3ccc(S(=O)(=O)N4CCCC4)cc3)ccc12,19.0,active
CHEMBL2347827,Cc1ncc(-c2ccc3c(NC(C)C)c(C#N)cnc3c2)s1,16.0,active
CHEMBL2347826,CC(C)Nc1c(C#N)cnc2cc(-c3ccc(S(=O)(=O)N4CCOCC4)cc3)ccc12,10.0,active
CHEMBL2347825,CNS(=O)(=O)c1ccc(-c2ccc3c(NC(C)C)c(C#N)cnc3c2)cc1,6.0,active
CHEMBL2347824,CC(C)Nc1c(C#N)cnc2cc(-c3cnn(C)c3)ccc12,5.0,active
CHEMBL2347823,CC(C)Nc1c(C#N)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,28.0,active
CHEMBL2347822,CC(C)Nc1c(-c2cnn(C)c2)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,2229.0,inactive
CHEMBL2347821,CC(C)Nc1c(C2=NCCN2)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,88597.0,inactive
CHEMBL2347820,CC(C)Nc1c(-c2nccs2)cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc12,2893.0,inactive
CHEMBL2347819,CC(=O)c1cnc2cc(-c3ccc(S(C)(=O)=O)cc3)ccc2c1NC(C)C,71.0,active
CHEMBL2348971,CC(Sc1ccc2nnc(-c3cccs3)n2n1)C(N)=O,3032.0,inactive
CHEMBL2348966,CC(C)(C)c1cccc(Sc2ccc3nnc(-c4cncs4)n3n2)c1,1393.0,inactive
CHEMBL2348963,Clc1cccc(Sc2ccc3nnc(-c4cncs4)n3n2)c1,1397.0,inactive
CHEMBL2348962,Brc1cccc(Sc2ccc3nnc(-c4cncs4)n3n2)c1,683.0,inactive
CHEMBL2348947,FC(F)(F)c1cccc(Sc2ccc3nnc(-c4cscn4)n3n2)c1,2112.0,inactive
CHEMBL2348946,FC(F)(F)c1cccc(Sc2ccc3nnc(-c4nccs4)n3n2)c1,1727.0,inactive
CHEMBL2348945,FC(F)(F)c1cccc(Sc2ccc3nnc(-c4cncs4)n3n2)c1,780.0,inactive
CHEMBL2348944,FC(F)(F)c1cccc(Sc2ccc3nnc(-c4ccn[nH]4)n3n2)c1,1016.0,inactive
CHEMBL2348938,FC(F)(F)c1cccc(Sc2ccc3nnc(-c4cccs4)n3n2)c1,1656.0,inactive
CHEMBL2349092,O=S(=O)(c1cccc(C(F)(F)F)c1)c1ccc2nnc(-c3ccccc3)n2n1,2270.0,inactive
CHEMBL2349091,[O-][S+](c1cccc(C(F)(F)F)c1)c1ccc2nnc(-c3ccccc3)n2n1,1230.0,inactive
CHEMBL2349090,N#CC(c1cccc(C(F)(F)F)c1)c1ccc2nnc(-c3ccccc3)n2n1,18000.0,inactive
CHEMBL2349089,O=C(c1cccc(C(F)(F)F)c1)c1ccc2nnc(-c3ccccc3)n2n1,4570.0,inactive
